Go.	යන්න.
Your hair's beautiful.	ඔබේ කොණ්ඩය ලස්සනයි.
Your nose is bleeding.	ඔයාගේ නහයෙන් ලේ එනවා.
Your phone is ringing.	ඔබගේ දුරකථනය නාද වේ.
Your shoes are untied.	ඔබේ සපත්තු ගලවා ඇත.
Your time is your own.	ඔබේ කාලය ඔබේමයි.
Who is it? "It's me."	ඌ කව් ද? "ඒ මමයි."
A bear can climb trees.	වලසෙකුට ගස් නගින්න පුළුවන්.
A book is on the table.	මේසය මත පොතක් ඇත.
A fox is a wild animal.	නරියා යනු වන සතෙකි.
A lot of fish perished.	මාළු ගොඩක් මැරුණා.
A mosquito just bit me.	මදුරුවෙක් මාව දෂ්ට කළා විතරයි.
A promise is a promise.	පොරොන්දුවක් කියන්නේ පොරොන්දුවක්.
A thousand yen will do.	යෙන් දහසක් කරනු ඇත.
All I have is one book.	මට තියෙන්නේ එක පොතක් විතරයි.
All of them went there.	ඒ හැමෝම එතනට ගියා.
All of us speak French.	අපි හැමෝම ප්‍රංශ කතා කරනවා.
Am I missing something?	මට යමක් මග හැරී තිබේද?
Am I on the right road?	මම හරි පාරේ යනවද?
Am I on the wrong road?	මම වැරදි මාර්ගයේද?
Am I the only one here?	මෙතන ඉන්නේ මම විතරද?
Anyone can manage that.	ඕනෑම කෙනෙකුට එය කළමනාකරණය කළ හැකිය.
Are Tom and Mary twins?	ටොම් සහ මේරි නිවුන් දරුවන් ද?
Are my clothes dry yet?	මගේ ඇඳුම් තාම වේලිලාද?
Are they looking at us?	ඔවුන් අප දෙස බලනවාද?
Are we going out again?	අපි ආයෙත් එලියට යනවද?
Are you afraid of bugs?	ඔබ දෝෂ වලට බියද?
Are you afraid of dogs?	ඔබ බල්ලන්ට බයද?
Are you afraid of rats?	ඔබ මීයන්ට බයද?
Are you all doing well?	ඔයාලා හැමෝම හොඳින් ඉන්නවාද?
Are you all right, Tom?	ඔයා හොඳින්ද, ටොම්?
Are you all still cold?	ඔබ සැමට තවමත් සීතලද?
Are you all still home?	ඔයාලා හැමෝම තාම ගෙදරද?
Are you angry with Tom?	ඔයා ටොම් එක්ක තරහද?
Are you busy this week?	ඔබ මේ සතියේ කාර්යබහුලද?
Are you cool with that?	ඔබ එය සමඟ සිසිල්ද?
Are you free on Monday?	ඔබ සඳුදා නිදහස්ද?
Are you from Australia?	ඔබ ඕස්ට්‍රේලියාවේ සිටද?
Are you getting hungry?	ඔබට බඩගිනිද?
Are you getting sleepy?	ඔබට නිදිමත එනවාද?
Are you going to be OK?	ඔයා හොදින් ඉන්නවද?
Are you good at French?	ඔබ ප්‍රංශ භාෂාවට දක්‍ෂද?
Are you guys really OK?	ඔයාලා ඇත්තටම හොඳින්ද?
Are you happy now, Tom?	ඔබට සතුටුයිද, ටොම්?
Are you in the library?	ඔබ පුස්තකාලයේ සිටිනවාද?
Are you looking for us?	ඔයා අපිව හොයනවද?
Are you married to Tom?	ඔබ ටොම් සමඟ විවාහකද?
Are you open on Sunday?	ඔබ ඉරිදා විවෘතද?
Are you pulling my leg?	ඔයා මගේ කකුල අදින්නද?
Are you ready to leave?	ඔබ පිටත්ව යාමට සූදානම්ද?
Are you ready to order?	ඔයා ඇණවුම් කිරීමට සුදානම් ද?
Are you really married?	ඔබ ඇත්තටම විවාහකද?
Are you still a smoker?	ඔබ තවමත් සිගරට් බොන කෙනෙක්ද?
Are you still homesick?	ඔබ තවමත් ගෙදර හැදෙනවාද?
Are you still nauseous?	ඔබට තවමත් ඔක්කාරයද?
Are you still with Tom?	ඔබ තවමත් ටොම් සමඟද?
Are you stupid or what?	ඔබ මෝඩද නැත්නම් කුමක් ද?
Are you sure Tom is OK?	ටොම් හොඳින් සිටින බව ඔබට විශ්වාසද?
Are you taking minutes?	ඔබ විනාඩි ගන්නවාද?
Are you threatening me?	ඔයා මට තර්ජනය කරනවද?
Are you three brothers?	ඔබ සහෝදරයන් තිදෙනාද?
Are you wearing a wire?	වයරයක් දාගෙන ඉන්නේ?
Are you wearing gloves?	ඔබ අත්වැසුම් පැළඳ සිටිනවාද?
Are you wearing makeup?	ඔබ මේකප් දාගෙනද?
Aren't they Englishmen?	ඔවුන් ඉංග්‍රීසි ජාතිකයන් නොවේද?
Aren't you guys sleepy?	කට්ටියට නිදිමත නැද්ද?
Aren't you hungry, Tom?	ඔයාට බඩගිනි නැද්ද ටොම්?
Aren't you ready to go?	ඔයා යන්න ලෑස්ති නැද්ද?
Aren't you scared, Tom?	ඔයාට බය නැද්ද ටොම්?
As usual, Tom was late.	සුපුරුදු පරිදි, ටොම් ප්රමාද විය.
Be careful not to fail.	අසාර්ථක නොවීමට වගබලා ගන්න.
Be careful not to fall.	නොවැටී පරිස්සම් වන්න.
Be careful not to trip.	සංචාරය නොකිරීමට වගබලා ගන්න.
Better late than never.	වෙනදාට වඩා ප්‍රමාද වීම හොඳය.
Boston is a great town.	බොස්ටන් යනු විශිෂ්ට නගරයකි.
Boston is going to win.	බොස්ටන් දිනන්න යනවා.
Both you and I are men.	ඔයයි මමයි දෙන්නම පිරිමි.
But he has bad manners.	නමුත් ඔහු නරක පුරුදු ඇත.
Call me when it's done.	එය අවසන් වූ විට මට කතා කරන්න.
Call up Tom right away.	වහාම ටොම් අමතන්න.
Can I change the route?	මට මාර්ගය වෙනස් කළ හැකිද?
Can I continue my trip?	මගේ චාරිකාව මට දිගටම සිදුකල හැකිද?
Can I have your number?	මට ඔබේ අංකය ලබා ගත හැකිද?
Can I open the curtain?	මට තිරය විවෘත කළ හැකිද?
Can I park my car here?	මට මගේ මෝටර් රථය මෙහි නවතා තැබිය හැකිද?
Can I see you a moment?	මට ඔබව මොහොතකට දකින්න පුළුවන්ද?
Can he play the guitar?	ඔහුට ගිටාර් වාදනය කළ හැකිද?
Can we talk in private?	අපට පුද්ගලිකව කතා කළ හැකිද?
Can you call me a taxi?	ඔබට මට කුලී රථයක් ඇමතිය හැකිද?
Can you cook an omelet?	ඔබට ඔම්ලට් උයන්න පුළුවන්ද?
Can you do bookkeeping?	ඔබට පොත් තැබීම කළ හැකිද?
Can you give me a boat?	මට බෝට්ටුවක් දෙන්න පුළුවන්ද?
Can you lend me a dime?	මට සත 10 ක් ණයට දීමට ඔබට හැකිද?
Can you play the piano?	ඔබට පියානෝව වාදනය කළ හැකිද?
Can you ride a bicycle?	ඔබට බයිසිකලයක් පදින්න පුළුවන්ද?
Can you say that again?	ඔබට එය නැවත පැවසිය හැකිද?
Can you see Tom's boat?	ඔබට ටොම්ගේ බෝට්ටුව පෙනෙනවාද?
Can you sing this song?	ඔබට මෙම ගීතය ගායනා කළ හැකිද?
Can you use a computer?	ඔබට පරිගණකයක් භාවිතා කළ හැකිද?
Can you watch the kids?	ඔබට දරුවන් බලා ගත හැකිද?
Can't anything be done?	කිසිවක් කළ නොහැකිද?
Can't you speak French?	ඔයාට ප්‍රංශ කතා කරන්න බැරිද?
Cars today are amazing.	අද කාර් පුදුමයි.
Cats usually hate dogs.	බළලුන් සාමාන්යයෙන් බල්ලන්ට වෛර කරයි.
Charge this bill to me.	මේ බිල්පත මගෙන් අය කරන්න.
Close the door, please.	කරුණාකර දොර වසන්න.
Close the refrigerator.	ශීතකරණය වසා දමන්න.
Come here and sit down.	මෙතනට ඇවිත් වාඩි වෙන්න.
Come on into my office.	එන්න මගේ ඔෆිස් එකට.
Come on! We'll be late.	ඉදිරියට එන්න! අපි පරක්කු වෙයි.
Come whenever you want.	ඕන වෙලාවක එන්න.
Cook 300 grams of rice.	සහල් ග්රෑම් 300 ක් උයන්න.
Cookie hated his owner.	කුකී ඔහුගේ අයිතිකරුට වෛර කළේය.
Could I have the check?	මට චෙක්පත ලබා ගත හැකිද?
Could you turn it down?	ඔබට එය ප්‍රතික්ෂේප කළ හැකිද?
Dead men tell no tales.	මැරුණු මිනිස්සු කතා කියන්නේ නැහැ.
Did anyone get injured?	කිසිවෙකු තුවාල ලබා තිබේද?
Did they find anything?	ඔවුන් යමක් සොයා ගත්තාද?
Did you enjoy the game?	ඔබ ක්‍රීඩාව රස වින්දාද?
